Source,Target,Type
260399941,1823987821,Directed
923513734831755264,1117351109184638976,Directed
46245868,823044740086120448,Directed
211937351,157991903,Directed
79975924,712293832721702912,Directed
16534741,1011817655957893120,Directed
79975924,710123736175783938,Directed
923513734831755264,848841710,Directed
1211593596677181440,1132890775891505152,Directed
974140999118319616,1143001067963076609,Directed
1060213620397637632,1062211659173785600,Directed
4263007693,1190726565073522694,Directed
554757120,248227983,Directed
20444825,2689402845,Directed
1068951084,892943944329428992,Directed
842679437263028224,838004607573983232,Directed
1654514035,1011817655957893120,Directed
79975924,749287970742472708,Directed
1207435325515206656,1064108650271309826,Directed
350283265,131981459,Directed
5685812,91169926,Directed
4263007693,195151954,Directed
260399941,98401570,Directed
970633921607192576,1011817655957893120,Directed
16741059,1042518909222617088,Directed
253412938,326258588,Directed
1060213620397637632,433559451,Directed
207166307,179235678,Directed
4263007693,186886728,Directed
20444825,143389731,Directed
1027109974835486720,1066962987276103681,Directed
2973406683,51896377,Directed
345609141,1010151737418608640,Directed
297065505,1130449033,Directed
